smiles,label
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC=C)C[C@@H]2CC,1_1
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC=C)C[C@@H]2CC,3_1
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC=C)C[C@@H]2CC,4_1
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC=C)C[C@@H]2CC,5_1
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC=C)C[C@@H]2CC,6_1
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC=C)C[C@@H]2CC,7_1
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC=C)C[C@@H]2CC,12_1
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC=C)C[C@@H]2CC,13_1
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC(=C)Br)C[C@@H]2CC,1_2
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC(=C)Br)C[C@@H]2CC,3_2
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC(=C)Br)C[C@@H]2CC,4_2
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC(=C)Br)C[C@@H]2CC,5_2
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC(=C)Br)C[C@@H]2CC,6_2
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC(=C)Br)C[C@@H]2CC,7_2
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC(=C)Br)C[C@@H]2CC,12_2
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(CC(=C)Br)C[C@@H]2CC,13_2
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccccc1)C[C@@H]2CC,1_3
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccccc1)C[C@@H]2CC,3_3
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccccc1)C[C@@H]2CC,4_3
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccccc1)C[C@@H]2CC,5_3
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccccc1)C[C@@H]2CC,6_3
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccccc1)C[C@@H]2CC,7_3
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccccc1)C[C@@H]2CC,12_3
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccccc1)C[C@@H]2CC,13_3
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccc(I)cc1)C[C@@H]2CC,1_4
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccc(I)cc1)C[C@@H]2CC,3_4
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccc(I)cc1)C[C@@H]2CC,4_4
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccc(I)cc1)C[C@@H]2CC,5_4
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccc(I)cc1)C[C@@H]2CC,6_4
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccc(I)cc1)C[C@@H]2CC,7_4
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccc(I)cc1)C[C@@H]2CC,12_4
C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1ccc(I)cc1)C[C@@H]2CC,13_4
